Institution_ID,Undergraduate_Enrollment_FTE,Graduate_Enrollment_FTE,Reported_Undergraduate_Enrollment_FTE,Reported_Graduate_Enrollment_FTE,Doctors_Professional_Practice_FTE,Activity_Type,Year
118347,3557.0,,3557.0,,,2,2016
118541,1086.0,92.0,1086.0,92.0,,2,2016
118684,2392.0,,2392.0,,,2,2016
118693,804.0,,804.0,,,2,2016
118718,7208.0,,7208.0,,,2,2016
118772,3206.0,,3206.0,,,2,2016
118888,832.0,563.0,832.0,563.0,,2,2016
118912,11050.0,,11050.0,,,2,2016
118930,4923.0,,4923.0,,,2,2016
118958,46.0,,46.0,,,1,2016
118967,1179.0,,1179.0,,,3,2016
118976,11672.0,,11672.0,,,2,2016
118994,184.0,,184.0,,,1,2016
119058,17.0,862.0,17.0,862.0,,2,2016
119067,4541.0,,4541.0,,,2,2016
119137,9553.0,,9553.0,,,2,2016
119164,20794.0,,20794.0,,,2,2016
119173,2401.0,315.0,2401.0,315.0,97.0,2,2016
119216,10056.0,,10056.0,,,2,2016
119270,1133.0,,1133.0,,,2,2016
119331,4138.0,,4138.0,,,2,2016
119553,631.0,,685.0,,,1,2016
119605,10772.0,12473.0,7181.0,8316.0,,2,2016
119678,,4420.0,,2486.0,,-2,2016
119775,390.0,142.0,412.0,125.0,,2,2016
119845,209.0,,209.0,,,1,2016
119951,289.0,,289.0,,,1,2016
120069,333.0,,333.0,,,1,2016
120078,947.0,,947.0,,,1,2016
120087,277.0,,277.0,,,1,2016
120184,1054.0,378.0,1054.0,378.0,,2,2016
120254,2142.0,1.0,2142.0,1.0,,2,2016
120272,64.0,,64.0,,,1,2016
120290,6307.0,,6307.0,,,2,2016
120342,14348.0,,14348.0,,,2,2016
120403,1146.0,94.0,1146.0,94.0,,2,2016
120421,4186.0,,4186.0,,,2,2016
120537,797.0,336.0,797.0,336.0,,2,2016
120661,685.0,,685.0,,,3,2016
120698,168.0,964.0,168.0,964.0,,2,2016
120768,348.0,509.0,348.0,509.0,,2,2016
120795,,113.0,,113.0,,-2,2016
120838,17.0,135.0,17.0,135.0,,2,2016
120865,1436.0,6.0,1436.0,6.0,,2,2016
120883,4036.0,1002.0,4036.0,1002.0,2076.0,2,2016
120953,1740.0,,1740.0,,,2,2016
120971,14820.0,,14820.0,,,2,2016
121044,18897.0,,18897.0,,,2,2016
121150,3831.0,3380.0,3592.0,3380.0,640.0,2,2016
121257,1091.0,,1023.0,,,2,2016
121275,275.0,,275.0,,,2,2016
121309,2800.0,825.0,2625.0,825.0,,2,2016
121345,1681.0,,1636.0,,,2,2016
121363,2570.0,,2570.0,,,2,2016
121433,86.0,,86.0,,,1,2016
121619,11751.0,,11751.0,,,2,2016
121628,,46.0,,107.0,,-2,2016
121637,73.0,,73.0,,,1,2016
121691,3458.0,1582.0,3458.0,1582.0,,2,2016
121707,4079.0,,4079.0,,,1,2016
121859,164.0,,164.0,,,1,2016
121868,109.0,,109.0,,,1,2016
121886,9486.0,,9486.0,,,2,2016
121901,11998.0,,11998.0,,,2,2016
121983,104.0,94.0,104.0,94.0,92.0,2,2016
121992,161.0,,161.0,,,1,2016
122117,44.0,121.0,44.0,121.0,30.0,2,2016
122126,12.0,73.0,12.0,73.0,,2,2016
122180,14331.0,,14331.0,,,2,2016
122205,12658.0,,12658.0,,,2,2016
122296,720.0,1052.0,720.0,1052.0,168.0,2,2016
122339,8843.0,,8843.0,,,2,2016
122366,187.0,,187.0,,,2,2016
122375,13430.0,,13430.0,,,2,2016
122384,6213.0,,6213.0,,,2,2016
122409,27163.0,3552.0,27163.0,3552.0,0.0,2,2016
122436,5714.0,1510.0,5714.0,1510.0,780.0,2,2016
122454,386.0,225.0,386.0,225.0,,2,2016
122506,217.0,342.0,164.0,226.0,,2,2016
122597,23090.0,2299.0,23090.0,2299.0,0.0,2,2016
122603,,56.0,,56.0,46.0,-2,2016
122612,7077.0,2674.0,7077.0,2674.0,715.0,2,2016
122649,,,,,155.0,-2,2016
122658,12624.0,,12624.0,,,2,2016
122685,8011.0,,8011.0,,,2,2016
122728,1160.0,75.0,1160.0,75.0,,2,2016
122746,4784.0,,4784.0,,,2,2016
122755,21734.0,3659.0,21734.0,3659.0,0.0,2,2016
122791,5194.0,,5194.0,,,2,2016
122834,577.0,,577.0,,,2,2016
122852,179.0,,179.0,,,2,2016
122889,12752.0,,12752.0,,,2,2016
122931,6223.0,1882.0,6223.0,1882.0,597.0,2,2016
122977,21581.0,,21581.0,,,2,2016
123013,12955.0,,12955.0,,,2,2016
123095,,421.0,,421.0,4.0,-2,2016
123165,974.0,29.0,979.0,29.0,,2,2016
123217,7549.0,,7549.0,,,2,2016
123280,34.0,4.0,34.0,4.0,,2,2016
123299,5343.0,,5343.0,,,2,2016
123341,11865.0,,11865.0,,,2,2016
123350,158.0,,158.0,,,1,2016
123396,88.0,,88.0,,,1,2016
123448,,,,,185.0,-2,2016
123457,878.0,164.0,878.0,164.0,,2,2016
123484,1653.0,,1653.0,,,2,2016
123493,525.0,,525.0,,,1,2016
123509,5692.0,,5692.0,,,2,2016
123527,8414.0,,8414.0,,,2,2016
123554,2974.0,1117.0,2869.0,1075.0,,2,2016
123563,6247.0,,6247.0,,,2,2016
123572,7975.0,319.0,7975.0,319.0,,2,2016
123633,90.0,576.0,90.0,576.0,165.0,2,2016
123642,395.0,,395.0,,,1,2016
123651,1740.0,231.0,1740.0,231.0,,2,2016
123679,699.0,,699.0,,,3,2016
123800,12216.0,,12216.0,,,2,2016
123855,,117.0,,117.0,,-2,2016
123916,,71.0,,71.0,,-2,2016
123943,,8.0,,8.0,398.0,-2,2016
123952,291.0,391.0,291.0,391.0,,2,2016
123961,19759.0,16045.0,19759.0,16045.0,3402.0,2,2016
123970,,32.0,,32.0,892.0,-2,2016
124113,2189.0,,2189.0,,,2,2016
124283,,216.0,,216.0,59.0,-2,2016
124292,452.0,,452.0,,,2,2016
124487,107.0,20.0,107.0,20.0,,2,2016
124681,872.0,,872.0,,,2,2016
124706,659.0,,659.0,,,3,2016
124779,11.0,,11.0,,,1,2016
124937,687.0,,687.0,,,3,2016
125028,8098.0,,8098.0,,,2,2016
125037,,0.0,,0.0,115.0,-2,2016
125082,119.0,,119.0,,,1,2016
125091,7989.0,,7989.0,,,2,2016
125170,3902.0,,3902.0,,,2,2016
125231,7386.0,31485.0,7386.0,47227.0,,2,2016
125310,34.0,,34.0,,,1,2016
125462,1656.0,,1656.0,,,2,2016
125471,6599.0,,6599.0,,,2,2016
125499,5505.0,,5505.0,,,2,2016
125532,1308.0,,1308.0,,,2,2016
125718,,152.0,,152.0,,-2,2016
125727,1478.0,,1478.0,,,2,2016
125763,1615.0,103.0,1615.0,103.0,476.0,2,2016
125897,1236.0,230.0,1236.0,230.0,,2,2016
126012,,467.0,,467.0,,-2,2016
126030,,,,,335.0,-2,2016
126049,,23.0,,23.0,535.0,-2,2016
126076,234.0,,234.0,,,2,2016
126119,4628.0,,4628.0,,,2,2016
126164,123.0,,123.0,,,1,2016
126182,1921.0,914.0,1921.0,914.0,,2,2016
126207,3356.0,,3356.0,,,2,2016
126289,5100.0,,5100.0,,,2,2016
126359,450.0,,450.0,,,2,2016
126401,257.0,,257.0,,,2,2016
126562,10372.0,4963.0,10372.0,4963.0,2214.0,2,2016
126580,8801.0,1191.0,8801.0,1191.0,22.0,2,2016
126605,208.0,,208.0,,,2,2016
126614,26512.0,3241.0,26512.0,3241.0,602.0,2,2016
126669,3904.0,431.0,3904.0,431.0,,2,2016
126678,2347.0,45.0,2200.0,45.0,,2,2016
126687,643.0,,643.0,,,3,2016
126702,1067.0,,1067.0,,,2,2016
126711,3419.0,,3419.0,,,2,2016
